;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
Apêndice 57 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12633;;;20/10/2022;Em ratificação da(s) outra(s) Parte(s)
Apêndice 56 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12632;;;20/10/2022;Em ratificação da(s) outra(s) Parte(s)
Apêndice 55 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12631;;;20/10/2022;Em ratificação da(s) outra(s) Parte(s)
Apêndice 54 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12630;;;20/10/2022;Em ratificação da(s) outra(s) Parte(s)
Emenda ao Protocolo de Montevidéu sobre o Comércio de Serviços do MERCOSUL;Multilateral;;;N/A;"Mercosul 
Economia 
Serviços 
Comércio";12629;;;06/07/2022;Tramitação Ministérios/Casa Civil
Acordo-Quadro sobre Cooperação Militar entre o Governo da República Federativa do Brasil e o Governo do Reino do Bahrein.;Bilateral;;;Bahrein ;Defesa e Assuntos Militares;12628;5;;04/09/2022;Tramitação Ministérios/Casa Civil
Acordo Complementar ao Acordo de Cooperação Científica e Técnica entre o Governo da República Federativa do Brasil e o Governo da República do Paraguai para a execução do Projeto “Implementação de um Sistema de Acompanhamento de Recomendações Internacionais em Direitos Humanos” – PROGRAMA SIMORE BRASIL.;Bilateral;;;Paraguai;Direitos Humanos;12627;247;;29/09/2022;Em Vigor
Acordo Marco do MERCOSUL de Reconhecimento Recíproco e Outorga de Matrículas para o Exercício Profissional Temporário da Agrimensura, Agronomia, Arquitetura, Geologia e Engenharia;Multilateral;;;N/A;"Mercosul 
Integração Regional 
Exercício Profissional";12626;;;06/07/2022;Tramitação Ministérios/Casa Civil
Apêndice 53 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12625;;;22/09/2022;Em Vigor
Apêndice 52 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12624;;;22/09/2022;Em Vigor
Apêndice 51 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12623;;;22/09/2022;Em Vigor
